genome,strain_name,name,species
GCF_001591845.1,NBRC 13951,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_001591685.1,NBRC 14221,Lactobacillus murinus,Lactobacillus murinus
GCF_001886915.1,DRC1506,Leuconostoc mesenteroides subsp. jonggajibkimchii,Leuconostoc mesenteroides
GCF_001891125.1,DSM 20241,Leuconostoc mesenteroides subsp. suionicum,Leuconostoc mesenteroides
GCF_001888965.1,JCM 17838,Lactobacillus delbrueckii subsp. sunkii,Lactobacillus delbrueckii
GCF_001888925.1,DSM 26046,Lactobacillus delbrueckii subsp. jakobsenii,Lactobacillus delbrueckii
GCF_001932615.1,FOL01,Weissella jogaejeotgali,Weissella jogaejeotgali
GCF_001908495.1,DSM 20074,Lactobacillus delbrueckii subsp. delbrueckii,Lactobacillus delbrueckii
GCF_001908415.1,JCM 15610,Lactobacillus delbrueckii subsp. indicus,Lactobacillus delbrueckii
GCF_001936335.1,DSM 20533,Lactobacillus amylophilus,Lactobacillus amylophilus
GCF_001971585.1,WiKim39,Lactobacillus allii,Lactobacillus allii
GCF_002088015.1,ATCC 33820,Lactobacillus crispatus,Lactobacillus crispatus
GCF_002117995.1,JCM 10692,Lactobacillus acidipiscis,Lactobacillus acidipiscis
GCF_002157585.1,JCM 8573,Lactobacillus parakefiri,Lactobacillus parakefiri
GCF_002217945.1,IWT126,Lactobacillus silagei,Lactobacillus silagei
GCF_002217925.1,IWT30,Lactobacillus mixtipabuli,Lactobacillus mixtipabuli
GCF_002217985.1,IWT25,Lactobacillus pentosiphilus,Lactobacillus pentosiphilus
GCF_002278095.1,DSM 20072,Lactobacillus delbrueckii subsp. lactis,Lactobacillus delbrueckii
GCF_002583405.1,IWT5,Lactobacillus silagincola,Lactobacillus silagincola
GCF_002723875.1,NBRC 3202,Lactobacillus delbrueckii subsp. delbrueckii,Lactobacillus delbrueckii
GCF_002706745.1,DSM 20184,Lactobacillus farciminis,Lactobacillus farciminis
GCF_002706705.1,DSM 20004,Lactobacillus coryniformis subsp. torquens,Lactobacillus coryniformis
GCF_002706425.1,DSM 20001,Lactobacillus coryniformis subsp. coryniformis,Lactobacillus coryniformis
GCF_002706375.1,DSM 20531,Lactobacillus amylovorus,Lactobacillus amylovorus
GCF_002736025.1,BCRC 14759,Lactobacillus salivarius,Lactobacillus salivarius
GCF_002849895.1,DSM 20249,Lactobacillus alimentarius,Lactobacillus alimentarius
GCF_002849515.1,NRRL B-442,Lactobacillus rhamnosus,Lactobacillus rhamnosus
GCF_002837055.1,LMG 26964,Lactobacillus apis,Lactobacillus apis
GCF_002916915.1,H70-3,Lactobacillus bombicola,Lactobacillus bombicola
GCF_002982135.1,DSM 20285,Pediococcus inopinatus,Pediococcus inopinatus
GCF_002994005.1,HV_6,Lactobacillus quenuiae,Lactobacillus quenuiae
GCF_002993975.1,Hlig3,Lactobacillus micheneri,Lactobacillus micheneri
GCF_002993965.1,HV_12,Lactobacillus timberlakei,Lactobacillus timberlakei
GCF_003047065.1,DSM 20079,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_003124125.1,BS-W1,Lactobacillus bambusae,Lactobacillus bambusae
GCF_003076495.1,M2,Leuconostoc miyukkimchii,Leuconostoc miyukkimchii
GCF_003363255.1,KCTC 3751,Weissella thailandensis,Weissella thailandensis
GCF_003353445.1,CECT 7031,Weissella soli,Weissella soli
GCF_003423665.1,DSM 24759,Lactobacillus rodentium,Lactobacillus rodentium
GCF_003369815.1,JCM 5668,Lactobacillus sanfranciscensis,Lactobacillus sanfranciscensis
GCF_003368395.1,KCTC 3543,Lactobacillus fructivorans,Lactobacillus fructivorans
GCF_003573535.1,S215,Lactobacillus formosensis,Lactobacillus formosensis
GCF_003641185.1,DSM 20314,Lactobacillus pentosus,Lactobacillus pentosus
GCF_003641165.1,DSM 16365,Lactobacillus plantarum subsp. argentoratensis,Lactobacillus plantarum
GCF_003641145.1,DSM 10667,Lactobacillus paraplantarum,Lactobacillus paraplantarum
GCF_900108455.1,DSM 15468,Fructobacillus pseudoficulneus,Fructobacillus pseudoficulneus
GCF_900103655.1,ATCC 43761,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Lactobacillus kefiranofaciens
GCF_900112405.1,DSM 19113,Fructobacillus durionis,Fructobacillus durionis
GCF_900113455.1,DSM 20403,Lactobacillus ruminis,Lactobacillus ruminis
GCF_900167245.1,DSM 20690,Lactobacillus lindneri,Lactobacillus lindneri
