genome,strain_name,name,species
GCF_000166795.1,KCTC 3167,Lactobacillus coryniformis subsp. coryniformis,Lactobacillus coryniformis
GCF_000178475.1,DSM 11664,Lactobacillus amylolyticus,Lactobacillus amylolyticus
GCF_000184535.1,KCTC 3681,Lactobacillus farciminis,Lactobacillus farciminis
GCF_000184285.1,KCTC 3535,Lactobacillus coryniformis subsp. torquens,Lactobacillus coryniformis
GCF_000183825.1,KCTC 3501,Lactobacillus animalis,Lactobacillus animalis
GCF_000185465.1,KCTC 3543,Lactobacillus fructivorans,Lactobacillus fructivorans
GCF_000185045.1,KCTC 3544,Fructobacillus fructosus,Fructobacillus fructosus
GCF_000192165.1,DSM 20072,Lactobacillus delbrueckii subsp. lactis,Lactobacillus delbrueckii
GCF_000196855.1,LMG 18811,Leuconostoc gasicomitatum,Leuconostoc gasicomitatum
GCF_000237995.1,ATCC BAA-344,Pediococcus claussenii,Pediococcus claussenii
GCF_000255495.1,DSM 20605,Lactobacillus vini,Lactobacillus vini
GCF_000241055.1,DSM 17330,Oenococcus kitaharae,Oenococcus kitaharae
GCF_000260775.1,KCTC 3548,Lactobacillus malefermentans,Lactobacillus malefermentans
GCF_000260455.1,KCTC 3814,Lactobacillus versmoldensis,Lactobacillus versmoldensis
GCF_000260395.1,KCTC 3549,Lactobacillus suebicus,Lactobacillus suebicus
GCF_000277855.1,DSM 15814,Lactobacillus rossiae,Lactobacillus rossiae
GCF_000297025.1,CRBIP 24.76,Lactobacillus pasteurii,Lactobacillus pasteurii
GCF_000296855.1,CRBIP 24.85,Lactobacillus gigeriorum,Lactobacillus gigeriorum
GCF_000296835.1,CRBIP 24.179,Lactobacillus hominis,Lactobacillus hominis
GCF_000309445.1,DSM 20252,Oenococcus oeni,Oenococcus oeni
GCF_000309665.1,M36,Lactobacillus similis,Lactobacillus similis
GCF_000319265.1,NGRI 0510Q,Pediococcus lolii,Pediococcus lolii
GCF_000312645.1,CIP 110162,Lactobacillus equicursoris,Lactobacillus equicursoris
GCF_000372485.1,DSM 20252,Oenococcus oeni,Oenococcus oeni
GCF_000349725.1,E100301,Lactobacillus pobuzihii,Lactobacillus pobuzihii
GCF_000387565.1,ZN7a-9,Lactobacillus delbrueckii subsp. jakobsenii,Lactobacillus delbrueckii
GCF_000415925.1,JCM 15040,Lactobacillus otakiensis,Lactobacillus otakiensis
GCF_000425905.1,DSM 15354,Lactobacillus psittaci,Lactobacillus psittaci
GCF_000425885.1,DSM 16991,Lactobacillus harbinensis,Lactobacillus harbinensis
GCF_000423265.1,DSM 16049,Lactobacillus saerimneri,Lactobacillus saerimneri
GCF_000423245.1,DSM 22408,Lactobacillus ceti,Lactobacillus ceti
GCF_000420365.1,DSM 20190,Weissella halotolerans,Weissella halotolerans
GCF_000428925.1,DSM 15814,Lactobacillus rossiae,Lactobacillus rossiae
GCF_000428085.1,DSM 17330,Oenococcus kitaharae,Oenococcus kitaharae
GCF_000469325.1,LY-73,Lactobacillus shenzhenensis,Lactobacillus shenzhenensis
GCF_000469705.1,CIP 76.13,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_000469365.1,ATCC 14869,Lactobacillus brevis,Lactobacillus brevis
GCF_000498955.2,DSM 21115,Lactobacillus fabifermentans,Lactobacillus fabifermentans
GCF_000498955.1,DSM 21115,Lactobacillus fabifermentans,Lactobacillus fabifermentans
GCF_000615095.1,JCM 1012,Lactobacillus delbrueckii subsp. delbrueckii,Lactobacillus delbrueckii
GCF_000612445.1,JCM 15457,Lactobacillus sucicola,Lactobacillus sucicola
GCF_000614735.1,JCM 2011,Lactobacillus gallinarum,Lactobacillus gallinarum
GCF_000583695.1,JCM 14202,Lactobacillus composti,Lactobacillus composti
GCF_000583655.1,JCM 14108,Lactobacillus farraginis,Lactobacillus farraginis
GCF_000615725.1,JCM 10415,Lactobacillus paralimentarius,Lactobacillus paralimentarius
GCF_000615685.1,JCM 6985,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Lactobacillus kefiranofaciens
GCF_000615445.1,JCM 6256,Lactobacillus hamsteri,Lactobacillus hamsteri
GCF_000615165.1,JCM 1132,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_000615365.1,JCM 1157,Lactobacillus sakei subsp. sakei,Lactobacillus sakei
GCF_000615325.1,JCM 1149,Lactobacillus plantarum subsp. plantarum,Lactobacillus plantarum
GCF_000615285.1,JCM 1039,Lactobacillus kitasatonis,Lactobacillus kitasatonis
GCF_000615245.1,JCM 1136,Lactobacillus rhamnosus,Lactobacillus rhamnosus
GCF_000615205.1,JCM 1134,Lactobacillus casei subsp. casei,Lactobacillus casei
GCF_000615125.1,JCM 1131,Lactobacillus gasseri,Lactobacillus gasseri
GCF_000615885.1,JCM 16172,Lactobacillus apodemi,Lactobacillus apodemi
GCF_000615805.1,JCM 11249,Lactobacillus fuchuensis,Lactobacillus fuchuensis
GCF_000615905.1,JCM 14932,Lactobacillus nodensis,Lactobacillus nodensis
GCF_000615845.1,JCM 14209,Lactobacillus hayakitensis,Lactobacillus hayakitensis
GCF_000615765.1,JCM 10991,Lactobacillus equi,Lactobacillus equi
GCF_000691805.2,SG25,Weissella oryzae,Weissella oryzae
GCF_000691805.1,SG25,Weissella oryzae,Weissella oryzae
GCF_000740055.1,SG293,Lactobacillus oryzae,Lactobacillus oryzae
GCF_000785105.2,CCTCC M 2011381,Lactobacillus curieae,Lactobacillus curieae
GCF_000786395.1,ATCC 4356,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_000785105.1,CCTCC M 2011381,Lactobacillus curieae,Lactobacillus curieae
GCF_000829055.1,ATCC 393,Lactobacillus casei subsp. casei,Lactobacillus casei
GCF_000829035.1,JCM 8130,Lactobacillus paracasei subsp. paracasei,Lactobacillus paracasei
GCF_000831645.3,DSM 28069,Lactobacillus heilongjiangensis,Lactobacillus heilongjiangensis
GCF_000831645.2,DSM 28069,Lactobacillus heilongjiangensis,Lactobacillus heilongjiangensis
GCF_000831645.1,DSM 28069,Lactobacillus heilongjiangensis,Lactobacillus heilongjiangensis
GCF_000829395.1,LOOC260,Lactobacillus hokkaidonensis,Lactobacillus hokkaidonensis
GCF_000876205.1,WDC04,Lactobacillus wasatchensis,Lactobacillus wasatchensis
GCF_000967195.1,Biut2,Lactobacillus kullabergensis,Lactobacillus kullabergensis
